,0
0.1,1.0
0.2,1.0
0.30000000000000004,1.0
0.4,1.0
0.5,1.0
0.6,1.0
0.7000000000000001,1.0
0.8,1.0
0.9,1.0
1.0,1.0
1.1,1.0
1.2000000000000002,1.0
1.3000000000000003,1.0
1.4000000000000001,1.0
1.5000000000000002,1.0
1.6,1.0
1.7000000000000002,1.0
1.8000000000000003,1.0
1.9000000000000001,1.0
2.0,1.0
2.1,0.99
2.2,0.99
2.3000000000000003,0.99
2.4000000000000004,0.99
2.5000000000000004,0.99
2.6,0.99
2.7,0.99
2.8000000000000003,0.98
2.9000000000000004,0.98
3.0000000000000004,0.98
3.1,0.97
3.2,0.97
3.3000000000000003,0.96
3.4000000000000004,0.96
3.5000000000000004,0.95
3.6,0.94
3.7,0.94
3.8000000000000003,0.93
3.9000000000000004,0.92
4.0,0.91
4.1,0.9
4.2,0.88
4.3,0.87
4.3999999999999995,0.86
4.5,0.84
4.6,0.83
4.7,0.81
4.8,0.79
4.9,0.77
5.0,0.76
5.1,0.74
5.2,0.72
5.3,0.7
5.4,0.68
5.5,0.66
5.6,0.65
5.7,0.63
5.8,0.61
5.9,0.59
6.0,0.57
6.1,0.55
6.2,0.53
6.3,0.51
6.4,0.49
6.5,0.47
6.6,0.45
6.7,0.43
6.8,0.42
6.9,0.4
7.0,0.38
7.1,0.37
7.2,0.35
7.3,0.34
7.4,0.32
7.5,0.31
7.6,0.3
7.7,0.29
7.8,0.28
7.9,0.26
8.0,0.25
8.1,0.24
8.2,0.22
8.3,0.21
8.4,0.19
8.5,0.18
8.6,0.17
8.7,0.16
8.8,0.16
8.9,0.15
9.0,0.15
9.1,0.16
9.2,0.16
9.3,0.17
9.4,0.17
9.5,0.18
9.6,0.19
9.700000000000001,0.2
9.8,0.2
9.9,0.2
